"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DEFB130",13.3457492737454,-4.63372849546606,0.270123433553295,-17.1541151928673,5.85550794880068e-66,1.08455718227686e-61
"LCN6",35.0170222726255,-3.52498017905615,0.20970241788712,-16.8094398461042,2.08128727849138e-63,1.92748014861087e-59
"CCDC177",12.2021666497956,-4.31442483828979,0.268014911157479,-16.0977044883698,2.64745823552134e-58,1.63454071461088e-54
"MDGA2",17.2632386037276,-2.85900214283296,0.201208495301958,-14.2091522454973,8.03928227991415e-46,3.72258965971425e-42
"SOX7",85.1342441313711,-2.77634049545404,0.198097938369386,-14.0149893447003,1.26217224910311e-44,4.67559087957757e-41
"KLK9",15.0898468129222,-3.97979949785392,0.290603044708245,-13.6949683436713,1.08807764938887e-42,3.35889570366345e-39
"UGT2A1",10.7485417734869,-2.65826228897274,0.202755533327461,-13.1106769090218,2.86033983178796e-39,7.56845919491094e-36
"RNASE11",7.74051024783418,-6.39851604986157,0.492435351234088,-12.9936163880727,1.32991208733033e-38,3.07907896019155e-35
"LIMS3",81.1046586134976,-3.1945193954131,0.25008087690434,-12.7739451131046,2.2923451750091e-37,4.71764637016872e-34
"OC90",26.3780471781188,-2.80089597587713,0.225898216815907,-12.3989291077923,2.64839303601125e-35,4.90535358130004e-32
"ZNF788",620.249476797788,-1.43637218125273,0.122104657716813,-11.7634511910592,6.02213519585479e-32,1.01401807361475e-28
"KRT222",10.7911626768101,-2.35975328687464,0.201576695174886,-11.7064786920301,1.18082569076637e-31,1.82260445369789e-28
"CDRT1",45.8842673673916,-2.47079473749408,0.211783404258153,-11.6666116787995,1.88793705331138e-31,2.68987462318719e-28
"TMEM236",81.0403636077002,-1.35401170681209,0.118001977112651,-11.4744832242894,1.77233354612363e-30,2.34479728152156e-27
"MUC3A",68.7742018638021,-2.5742775948829,0.224955150646414,-11.4435147961078,2.53407104771984e-30,3.12907092972446e-27
"SOGA3",29.8604016328444,-1.87739576872836,0.169246002285561,-11.0927037766051,1.36110529806528e-28,1.57564952067282e-25
"GOLGA7B",54.0982929200008,-2.61522056192388,0.236944594619058,-11.0372661850693,2.52601941517299e-28,2.75217244751966e-25
"TMEM239",7.30615868452041,-2.36154884543354,0.220842600956614,-10.6933573287224,1.09339882432936e-26,1.12510739023492e-23
"FAM47E-STBD1",54.2010126369531,-2.20814837524882,0.208060797429978,-10.6129958287407,2.59299172012843e-26,2.52775750737994e-23
"SYNPO2",38.816827108752,-3.22381617676101,0.305591150917407,-10.5494421781615,5.10995655594985e-26,4.73233076646515e-23
"HIST2H3C",39.5868141653555,3.21775414987945,0.308429248185654,10.4327140464402,1.75794007642468e-25,1.48002573161536e-22
"HIST2H3A",39.5868141653555,3.21775414987945,0.308429248185654,10.4327140464402,1.75794007642468e-25,1.48002573161536e-22
"SIGLEC5",22.48605757258,-2.15072615955319,0.207927768274102,-10.3436216211294,4.473066161797e-25,3.60217962820887e-22
"ZNF709",50.3180301199635,-1.69808425976168,0.165210533437662,-10.2783050476767,8.82661580422231e-25,6.81194074690857e-22
"MYBL2",12.7586001369041,3.20576853474641,0.313611781903145,10.2220921525725,1.57895663441602e-24,1.16981739130614e-21
"DES",115.153428389014,-6.29902327351135,0.625246581128577,-10.0744625618609,7.16514355529074e-24,5.10433803581135e-21
"MYH11",85.360686987541,-3.01107278262148,0.299079162707623,-10.0678119978725,7.66645851137291e-24,5.25919053880182e-21
"E2F1",8.89454887646053,2.54828182901412,0.255226594565174,9.98438988443033,1.78395156729172e-23,1.18008396176348e-20
"LTB4R2",227.051850339925,-2.05187880189977,0.206513935037871,-9.93578860198216,2.90865231604432e-23,1.85772614475079e-20
"ANKRD18A",132.003601445862,-1.91501858648433,0.194265818845656,-9.8577227731751,6.34725815092117e-23,3.91879718237873e-20
"ABCA8",19.7600054470647,-2.30837356938994,0.235893936510318,-9.78564181656689,1.29769324866963e-22,7.75350785543832e-20
"FGF10",6.59078328610549,-2.93222841726313,0.303342911454002,-9.666381862059,4.18927448725464e-22,2.42480443915408e-19
"NOVA1",9.13130247522677,-3.04139841419195,0.315850932342541,-9.62922094810711,6.0184021445645e-22,3.37796498550375e-19
"MFRP",4.09163610492728,-3.83864826745789,0.40128469949689,-9.56589740967095,1.11232227312638e-21,6.05953915966084e-19
"H2AFX",31.1903821753621,1.81127112496283,0.189608053584346,9.55271197991125,1.26344760606705e-21,6.68616473130681e-19
"MRPS17",343.853203909252,-1.3992621332978,0.147737474816459,-9.47127419793902,2.76450574722516e-21,1.42233820694734e-18
"ANK2",31.2932645041742,-2.43164208914031,0.257871793846641,-9.42965515098729,4.1143942089193e-21,2.0596435010163e-18
"CXCL10",11.1790717912957,3.76034876203254,0.399961529574732,9.40177613089643,5.36496646560567e-21,2.61499760199864e-18
"ZNF223",67.5666760964469,-2.37291757175832,0.252467853783995,-9.39888994259258,5.51417308137813e-21,2.6188080464945e-18
"CLN3",2006.12242211231,-1.24585540972224,0.132998860035211,-9.36741419732777,7.43312009322745e-21,3.44190625916897e-18
"MMP11",96.0832669144089,3.43454198153129,0.368719773408111,9.31477568936838,1.22210495847832e-20,5.52093366852083e-18
"COL17A1",31.4513555856563,-3.54435208559431,0.381490729624186,-9.29079479620887,1.53140447066862e-20,6.75349371564862e-18
"RAI2",6.98821505870268,-2.10958952046669,0.227621067610322,-9.26798886682239,1.89688694921402e-20,8.17073024961444e-18
"NUSAP1",16.4504658552971,2.39358290895129,0.258375594981612,9.26396670367274,1.96975245853551e-20,8.29176250840788e-18
"HIST1H1B",48.1199008201717,2.80247710583658,0.302827933799661,9.25435467816053,2.15528370143068e-20,8.87114771508869e-18
"PAQR4",20.0883176063183,2.56575121351903,0.277860417036125,9.2339572541038,2.60813914980442e-20,1.05017289853647e-17
"MTHFD2",33.815814146102,1.86823619624149,0.203882784743319,9.16328565255534,5.03407339960675e-20,1.98385335122375e-17
"TK1",25.2042593496847,2.61159089761797,0.28510712093168,9.16003391666875,5.18810087754208e-20,2.00195842612155e-17
"ABCA10",10.5177492966816,-2.30573384894938,0.252719102132961,-9.12370228245065,7.26008150852948e-20,2.74431081022414e-17
"CNN1",58.6606469766592,-2.6215514413605,0.287948339570615,-9.10424225841944,8.68707073787509e-20,3.21803848413845e-17
"GSTM2",57.349291544358,-1.75808467117573,0.193497901994852,-9.08580740695835,1.02931833327432e-19,3.73824199390334e-17
"ITGB3",81.1701352914394,-2.22153495581757,0.244680768543687,-9.07931983800728,1.0925544257564e-19,3.89159482189617e-17
"NTRK2",13.0075926073143,-2.41033770521309,0.265738800846101,-9.07032656706013,1.18660833294421e-19,4.14686029109296e-17
"HIST1H2AB",18.5991175233589,2.73003246412306,0.303676011515893,8.98995100237013,2.47340675116939e-19,8.483785156511e-17
"ANKRD29",7.18646539735612,-1.91996325711904,0.214254632720973,-8.96112832070911,3.21372802664743e-19,1.08226673653752e-16
"FLG",29.5052066277195,-5.23267645322882,0.588156342645257,-8.89674406926337,5.75089099010301e-19,1.90210719497657e-16
"CCNB1",9.96738915129223,2.35823209370233,0.267525318349008,8.81498658988912,1.19699388248732e-18,3.88960012130352e-16
"SEMA6A",19.865833484699,-1.61702545478421,0.184127706782865,-8.78208653677041,1.60469548123924e-18,5.03765588195138e-16
"ABCA9",9.91671477283727,-1.7959435627822,0.20446599587409,-8.78358063943375,1.58351266524942e-18,5.03765588195138e-16
"TLR9",34.2193101949753,-1.90712600255008,0.21726084861536,-8.77804728603663,1.6633734170694e-18,5.13483373849324e-16
"COL10A1",19.4188193323802,2.57651192652529,0.294594805193484,8.74595166344868,2.21143771462478e-18,6.71479497545578e-16
"ACSBG1",33.3756062526794,-3.77398776780249,0.431747860163776,-8.74118464969552,2.30678632585884e-18,6.89133811734798e-16
"TNXB",66.7215516164393,-2.46842107809949,0.282862104046809,-8.7265881246892,2.62470839914301e-18,7.71664269348044e-16
"ZNF763",66.6840793201632,-1.81237059682381,0.208230802185633,-8.70366236791482,3.21342103974132e-18,9.29984132782635e-16
"IDH2",79.5862531604443,1.59827323029789,0.183734775060937,8.69880636242002,3.35393265736789e-18,9.55716010457969e-16
"PYCR1",39.2442789607373,2.52937202543445,0.292040224230775,8.66103986906852,4.67479990103419e-18,1.31191884495387e-15
"AKAP12",10.5220162808612,-2.49364976535345,0.290327367818805,-8.58909645373063,8.76559107244122e-18,2.42322802751875e-15
"PITX1",11.5915447255555,2.57125846476333,0.299652396527982,8.58080394001859,9.42123432766846e-18,2.56617797378052e-15
"CACNA1G",3.61664451215247,-3.48291259568241,0.407873329130319,-8.53920162690901,1.35152368425587e-17,3.61351883975425e-15
"HIST1H3B",117.506121902031,3.0502006317232,0.357250030163431,8.53799964783158,1.36565337859193e-17,3.61351883975425e-15
"NDUFA7",1352.24365499733,-1.11349348407609,0.130491515005786,-8.53307193212309,1.42512015949408e-17,3.71775712593653e-15
"CRYBG3",138.804141233652,-2.12554701608743,0.249300714846329,-8.52603658757111,1.51447379537051e-17,3.89598383859063e-15
"RPP14",259.42405625239,-1.18100850784682,0.138565513312272,-8.52310563874066,1.55330991580744e-17,3.94115154254594e-15
"HN1",54.2505961019606,2.33584478697009,0.274480067337461,8.51007072982924,1.73827285881038e-17,4.35084998525484e-15
"FLNC",18.3632823392391,-3.05055263650888,0.359156359076847,-8.49366176990388,2.00226450263871e-17,4.94479241571656e-15
"TSPAN7",7.53447996389098,-2.12006662051069,0.249670502378086,-8.49145814310172,2.04060423898383e-17,4.97316733084979e-15
"MRPL30",38.9781743251489,-0.980977455507399,0.11573084584262,-8.47636987671735,2.3232932263784e-17,5.54957100078713e-15
"PDE2A",16.8694559502316,-2.01495365813432,0.23773348040366,-8.47568316718803,2.33703994202244e-17,5.54957100078713e-15
"CPED1",10.7781126237887,-2.00535557205513,0.236840461608616,-8.46711562051008,2.51544368954603e-17,5.8976010149078e-15
"TROAP",10.9404119999772,2.14466110462418,0.254554096043693,8.42516831572042,3.60232033893128e-17,8.34027216471064e-15
"ABCA6",14.8867351795173,-2.17097066612897,0.258109025979351,-8.41106062793265,4.06319622516525e-17,9.2911753682112e-15
"HIST1H2BN",55.688565748685,2.05927003564882,0.245004609421283,8.40502568712055,4.27767958683863e-17,9.66233918383233e-15
"PHYHIP",5.32782753231874,-3.62914711678539,0.432172971580578,-8.39744119932485,4.56312916228667e-17,1.01829251016715e-14
"LMNB1",21.5201808564828,1.75494216519916,0.20999632922798,8.35701353281242,6.43259236513098e-17,1.41838661651138e-14
"LMOD1",19.1667954549253,-2.3846395498501,0.286649409989545,-8.31901084302627,8.87004361596998e-17,1.93283468064701e-14
"CLEC3B",28.4094821623707,-2.8903293630309,0.348275043839075,-8.29898499522238,1.05004628997029e-16,2.24519105092027e-14
"HIST1H2BO",53.1365236942321,3.21852118241975,0.387845053040063,8.2984716633405,1.05459249233378e-16,2.24519105092027e-14
"CELF6",55.601283658924,-1.67733019942134,0.202319726006734,-8.29049264017643,1.12780372695938e-16,2.37377052622064e-14
"CBX2",9.78883035990215,2.32282802014274,0.280274029969461,8.28770336087091,1.15456089769539e-16,2.40278392664202e-14
"FN1",437.241668847654,2.35494529865941,0.285360628600517,8.25252351807844,1.55084366298919e-16,3.19163625843175e-14
"LPHN3",4.63339098953028,-3.47789148217381,0.421774952132932,-8.24584642730911,1.63995180470995e-16,3.33793267327886e-14
"MAST4",31.6190358771678,-1.18734344602497,0.144205601100298,-8.23368466249207,1.81541182917467e-16,3.6383324852068e-14
"SVEP1",13.1549223806052,-1.9214608338146,0.233387126837552,-8.23293409474133,1.82682713057031e-16,3.6383324852068e-14
"TM4SF19",149.883545456604,-0.960278636196761,0.116678681436248,-8.23011217110338,1.87038213178645e-16,3.68544870690944e-14
"HIST1H2BL",26.4577053719949,2.62712236737812,0.321541216070953,8.1704062685339,3.07352660467423e-16,5.99240629176591e-14
"IDS",1256.28486051405,-1.56913943362992,0.192651306943234,-8.14497165125528,3.79370780280925e-16,7.31948499204509e-14
"HSPB6",78.9394009861973,-3.21482381184314,0.39479665330413,-8.14298648414989,3.8564532756113e-16,7.36383789390438e-14
"ARHGAP23",36.5532139186326,-1.55901567370068,0.191620413886955,-8.13595817938481,4.08692888613631e-16,7.72429559479762e-14
"CHL1",6.5785919370964,-1.928576139708,0.237166956408581,-8.13172361324031,4.23228923626769e-16,7.83904612341501e-14
"ATOH8",6.20466143118278,-2.28583567408861,0.281062421824258,-8.13283988393828,4.19348367014165e-16,7.83904612341501e-14
"SBK1",6.99886711606056,2.05796698471285,0.253301493507692,8.12457501222887,4.48932615460338e-16,8.23280188470929e-14
"LGI4",9.00384717570352,-2.03767569152056,0.25092891148297,-8.12052975274177,4.6415316472773e-16,8.42847540890884e-14
"HIST1H3F",67.2558904494809,2.94670578449444,0.363050341226936,8.11652118143174,4.79737020894664e-16,8.62688262234075e-14
"MASP1",5.52714759934114,-3.24491646409168,0.400275444799245,-8.10670878329581,5.20093133632855e-16,9.26265867418051e-14
"FAM90A26",13.0035267019608,-3.73247526563199,0.460526642864578,-8.1047976777525,5.28333617507221e-16,9.31980501282738e-14
"FAT4",5.46985254925677,-2.07039925664785,0.255885066162821,-8.09112969230662,5.91138699650365e-16,1.03293122593623e-13
"HIST1H3J",31.5563304585621,2.97243715816829,0.370352865730052,8.02595965420415,1.00735327662588e-15,1.74375676538922e-13
"RBMS3",18.7280833115073,-2.08150443980549,0.25955021327038,-8.01965990926436,1.06038342409023e-15,1.81855757231474e-13
"CXCL9",10.3217021913551,3.28808655202163,0.410753481482827,8.00501200903176,1.19455014279328e-15,2.02985850869882e-13
"ABI3BP",49.7055726651055,-2.27249126568748,0.283936462120888,-8.00352039577065,1.20911643970302e-15,2.03593224510721e-13
"AURKB",12.7287877766242,2.42590130951818,0.30382562113325,7.98451855531382,1.41071801869872e-15,2.35399271552592e-13
"DPT",39.2584612535252,-3.07011675812594,0.385463678394421,-7.96473683568306,1.65575771676298e-15,2.66061689243469e-13
"PGM5",11.3672815812843,-2.17581719397052,0.273222028281279,-7.96354967298076,1.67172857971942e-15,2.66061689243469e-13
"PLK1",14.2146895803018,2.05231180231274,0.257734525120451,7.96289050275123,1.68066178822405e-15,2.66061689243469e-13
"HIST1H2AH",45.1789823790936,2.4550845872145,0.308179041568296,7.96642294271794,1.63333256228946e-15,2.66061689243469e-13
"CYP4F12",8.48078825601822,-3.09799471208689,0.388893914375213,-7.96616917254683,1.63668847074782e-15,2.66061689243469e-13
"PLIN5",14.4149168659439,-2.9105530568379,0.365396896694806,-7.96545642058069,1.64615041434898e-15,2.66061689243469e-13
"CAPS",58.6654779055653,2.17348186152388,0.273169307575269,7.9565375803612,1.76920414249885e-15,2.77705077350539e-13
"LIFR",12.2905516154096,-2.06556732740211,0.259764509437848,-7.95169182992769,1.83981456166781e-15,2.86361725304296e-13
"TSHZ2",13.2297456583997,-1.66734288742607,0.210198196343247,-7.93224164827443,2.15225125851667e-15,3.32199981752049e-13
"MAOA",7.61614223014038,-3.07039543178501,0.388069802467856,-7.91196689940679,2.53353764043947e-15,3.87819703935702e-13
"FLAD1",30.1350426287091,1.08022951011027,0.136664000212217,7.90427258409566,2.69502707150212e-15,4.09158126380018e-13
"LYVE1",6.28856366679239,-2.38591673034035,0.301933512645705,-7.9021262311482,2.74185531430647e-15,4.11638754811909e-13
"CDCA8",5.06266053043745,2.71310457807177,0.343366051096254,7.90149337539262,2.75581500899885e-15,4.11638754811909e-13
"RECQL4",31.0358300874096,2.25659929269652,0.286279767828319,7.88249658652021,3.20903784665399e-15,4.75502391965802e-13
"PGR",8.86450393768815,-3.05006793749664,0.387102247479889,-7.87923076487716,3.29402647334064e-15,4.84221891581074e-13
"TP63",21.7319561190903,-3.01577557160652,0.382951598697032,-7.87508286130023,3.40517108070203e-15,4.96618730368213e-13
"DNMBP",7.60952910157997,-1.47427399896507,0.187294870104844,-7.87140618501619,3.50677060906288e-15,5.07440665789553e-13
"MCM2",21.2996218760776,2.0561180209769,0.261712840678938,7.85638952847288,3.95364247127781e-15,5.67669502736493e-13
"MRGPRF",12.4027445726145,-2.49577866453048,0.318056295299252,-7.84697143687177,4.26204272287004e-15,6.07242733176914e-13
"SCN4B",5.39983954566647,-1.91380520105723,0.244232252762446,-7.83600519346111,4.65106647195805e-15,6.5761109308097e-13
"ARHGAP6",3.82016546106195,-2.11921811242118,0.270527148224724,-7.83366152464952,4.73863393914984e-15,6.64916498643434e-13
